359;Art Competitions Mixed Literature, Dramatic Works;48
360;Shooting Men's Trap;7
361;Swimming Women's 400 metres Freestyle;34
362;Shooting Mixed Free Rifle, Three Positions, 300 metres;7
363;Art Competitions Mixed Architecture, Architectural Designs;48
364;Boxing Women's Flyweight;39
365;Gymnastics Men's Floor Exercise;4
366;Shooting Men's Military Rifle, Three Positions, 300 metres;7
367;Swimming Men's 100 metres Freestyle;34
368;Diving Men's Plain High;44
369;Swimming Men's Plunge For Distance;34
370;Athletics Women's 10 kilometres Walk;10
371;Boxing Men's Light-Middleweight;39
372;Rowing Men's Coxless Pairs;19
373;Athletics Men's 2,590 metres Steeplechase;10
374;Judo Women's Heavyweight;8
375;Badminton Women's Singles;26
376;Tennis Women's Doubles;16
377;Art Competitions Mixed Literature, Lyric Works;48
378;Equestrianism Mixed Jumping, Team;24
379;Swimming Men's 50 yard Freestyle;34
380;Weightlifting Men's Super-Heavyweight;27
381;Sailing Mixed Two Person Dinghy;15
382;Rowing Women's Quadruple Sculls;19
383;Shooting Men's Military Rifle, Prone, 600 metres, Team;7
384;Art Competitions Mixed Sculpturing, Statues;48
385;Athletics Men's Standing Long Jump;10
386;Trampolining Women's Individual;30
387;Athletics Men's Hammer Throw;10
388;Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team;7
389;Wrestling Men's Light-Flyweight, Freestyle;5
390;Athletics Women's Hammer Throw;10
391;Lacrosse Men's Lacrosse;2
392;Taekwondo Men's Featherweight;6
393;Athletics Men's 400 metres Hurdles;10
394;Shooting Men's Small-Bore Rifle, Any Position, 50 metres;7
395;Weightlifting Men's Heavyweight I;27
396;Canoeing Women's Kayak Singles, Slalom;11
397;Athletics Women's 3,000 metres;10
398;Athletics Men's Standing High Jump;10
399;Athletics Men's 200 metres;10
400;Rhythmic Gymnastics Women's Group;28
401;Swimming Men's 440 yard Freestyle;34
402;Rowing Women's Coxless Fours;19
403;Shooting Men's Free Pistol, 50 yards;7
404;Swimming Men's 4 x 200 metres Freestyle Relay;34
405;Sailing Women's Two Person Dinghy;15
406;Weightlifting Men's All-Around Dumbbell Contest;27
407;Diving Women's Platform;44
408;Golf Men's Team;21
409;Boxing Men's Welterweight;39
410;Canoeing Men's Kayak Doubles, 500 metres;11
411;Art Competitions Mixed Painting;48
412;Athletics Women's 800 metres;10
413;Equestrianism Men's Three-Day Event, Individual;24
414;Rowing Men's Double Sculls;19
415;Wrestling Men's Super-Heavyweight, Greco-Roman;5
416;Art Competitions Mixed Painting, Paintings;48
417;Boxing Men's Light-Flyweight;39
418;Archery Women's Team Round;1
419;Canoeing Men's Kayak Singles, 1,000 metres;11
420;Gymnastics Men's Rings;4
421;Judo Men's Half-Middleweight;8
422;Sailing Mixed Three Person Keelboat;15
423;Athletics Men's 10 kilometres Walk;10
424;Archery Women's Individual;1
425;Cycling Men's Team Pursuit, 1,980 yards;40
426;Athletics Women's 400 metres Hurdles;10
427;Boxing Women's Lightweight;39
428;Shooting Men's Military Rifle, Standing, 300 metres, Team;7
429;Canoeing Men's Kayak Singles, 200 metres;11
430;Swimming Men's 400 metres Freestyle;34
431;Wrestling Men's Middleweight B, Greco-Roman;5
432;Diving Women's Plain High;44
433;Athletics Men's Marathon;10
434;Weightlifting Women's Middleweight;27
435;Tennis Mixed Doubles, Covered Courts;16
436;Cycling Women's Keirin;40
437;Tug-Of-War Men's Tug-Of-War;37
438;Shooting Men's Small-Bore Rifle, Standing, 50 metres;7
439;Cycling Women's BMX;40
440;Archery Men's Target Archery, 50 metres, Individual;1
441;Rowing Men's Coxed Eights;19
442;Sailing Mixed 12 metres;15
443;Athletics Men's Long Jump;10
444;Modern Pentathlon Men's Individual;29
